   序号,证书状态,证书形式,证号,企业名称,法人代表,行政相对人代码,注册地址,经济类型,许可机关,核发日期,前一次有效期,延期有效期,,
8130,有效,电子,(京)JZ安许证字〔2023〕053265,北京中天创实科技有限公司,/,91110116MA01AAPRXB,北京市怀柔区杨宋镇凤翔东大街9号A座A2628室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-17,,2026-02-16,,
8131,有效,电子,（京）JZ安许证字[2023]053546,北京华夏通泰建设工程有限公司,/,91110111MA01MU0BX2,北京市房山区西潞街道长虹西路73号1幢1层B100,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8132,有效,电子,（京）JZ安许证字[2023]053547,北京元利建安工程有限公司,/,91110117MAC5W97A9A,北京市平谷区金海湖镇韩庄南大街111号-220656(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-07-04,,2026-03-20,,
8133,有效,电子,（京）JZ安许证字[2023]053552,北京兴科盛博工程有限公司,/,91110117MABTKR2K2F,北京市平谷区马坊镇金河街106号院4号楼3层320,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8134,有效,电子,（京）JZ安许证字[2023]053553,北京瑞隆宏祥建筑装饰工程有限公司,/,91110116MA0092J295,北京市怀柔区桥梓镇兴桥大街1号南楼203室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8135,有效,电子,（京）JZ安许证字[2023]053555,鑫飞阳(北京)建筑劳务有限公司,/,911101025548518942,北京市怀柔区渤海镇怀沙路536号(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8136,有效,电子,（京）JZ安许证字[2023]053556,北京建缘建筑工程有限公司,/,91110118MA04H69584,北京市密云区巨各庄镇政府208室-1051(巨各庄镇集中办公区),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8137,有效,电子,（京）JZ安许证字[2023]053559,中豫新建筑有限公司,/,91110109MA01R55C9M,北京市门头沟区石龙经济开发区永安路20号2号楼1层4单元101室-CZB096(集群注册),有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8138,有效,电子,（京）JZ安许证字[2023]053560,北京朝亿兴和工程技术有限公司,/,91110105348332065T,北京市平谷区王辛庄镇校园路20号411-21010(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8139,有效,电子,（京）JZ安许证字[2023]053562,瀚海鸿盛(北京)商贸有限公司,/,91110111MA00DR3M0L,北京市房山区韩村河镇赵各庄村村委会南400米,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8140,有效,电子,（京）JZ安许证字[2023]053563,北京建工兴业建筑工程有限公司,/,91110114MAC3FGPP04,北京市昌平区昌崔路198号院2号楼6层614,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,,2026-03-20,,
8141,有效,电子,(京)JZ安许证字〔2023〕053143,北京中宸微电子有限公司,/,91110108690037272G,北京市海淀区天秀路10号中国农大国际创业园2号楼三层0309,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-02,,2026-02-01,,
8142,有效,电子,（京）JZ安许证字[2023]053699,尚群伟业(北京)机电设备工程有限公司,/,91110228097946555U,北京市密云区经济开发区兴盛南路8号开发区办公楼501室-697,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-03,,2026-04-02,,
8143,有效,电子,（京）JZ安许证字[2023]053700,中鼎德创(北京)建设工程有限公司,/,91110117MABLT3ET98,北京市平谷区金海湖镇韩庄南大街111号-220319(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-03,,2026-04-02,,
8144,有效,电子,（京）JZ安许证字[2023]053701,北京旺宁建筑工程有限公司,/,91110117MA7LQ7BL1W,北京市平谷区刘家店镇银店大街1号328室-220075(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-03,,2026-04-02,,
8145,有效,电子,（京）JZ安许证字[2023]053138,北京四方讯通通信工程有限公司,/,91110117MA7C2D8T5T,北京市平谷区中关村科技园区平谷园1区-21792(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-09,,2026-01-31,,
8146,有效,电子,（京）JZ安许证字[2023]053565,世华中科(北京)科技股份有限公司,/,911101066723780229,北京市丰台区南四环西路188号十六区19号楼9层101内2358号,其他股份有限公司(非上市),北京市住房和城乡建设委员会,2023-03-22,,2026-03-21,,
8147,有效,电子,（京）JZ安许证字[2023]053566,北京鲁晟建筑工程有限公司,/,91110109306761179D,北京市门头沟区雁翅收购站1幢103,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-22,,2026-03-21,,
8148,有效,电子,（京）JZ安许证字[2023]053567,北京景泰源建筑工程有限公司,/,91110109MABUMY6N30,北京市门头沟区石龙经济开发区永安路20号3号楼A-S0019室(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-17,,2026-03-21,,
8149,有效,电子,（京）JZ安许证字[2023]053568,北京华盛云集科技有限公司,/,91110106MABX32H746,北京市平谷区南独乐河镇同乐路145号220313(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-25,,2026-03-21,,
8150,有效,电子,（京）JZ安许证字[2023]053357,北京建工资源循环利用有限公司,/,911100000953562798,北京市海淀区学清路10号院1号楼A座17层1701-1728(东升地区),其他有限责任公司,北京市住房和城乡建设委员会,2023-03-02,,2026-03-01,,
8151,有效,电子,（京）JZ安许证字[2023]053365,中铁中冶联合控股集团有限公司,/,91110101MA01AFF09J,北京市东城区东直门外大街42号二层商业201-9,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-06,,2026-03-05,,
8152,有效,电子,（京）JZ安许证字[2023]053366,北京安豫建设劳务有限公司,/,91110109MA7N2D6N3C,北京市门头沟区中门寺街69号45幢881号(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-06,,2026-03-05,,
8153,有效,电子,（京）JZ安许证字[2023]053368,北京鼎虹工程技术有限公司,/,91110112MA01U1GA8U,北京市通州区潞苑南大街甲560号B区106-G21,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-06,,2026-03-05,,
8154,有效,电子,（京）JZ安许证字[2023]053371,盛世康成(北京)建筑工程有限公司,/,91110109MA01M8AR4N,北京市门头沟区斋堂大街45号科技楼ZT814室,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-06,,2026-03-05,,
8155,有效,电子,（京）JZ安许证字[2023]053372,中福百隆(北京)建设有限公司,/,91110111MABLLGDM70,北京市房山区良乡凯旋大街建设路18号—D19799(集群注册),有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-06,,2026-03-05,,
8156,有效,电子,（京）JZ安许证字[2023]053373,北京宏图展览展示有限公司,/,91110106769389959Q,北京市通州区北皇木厂北街5号院1号楼7层718室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-07,,2026-03-06,,
8157,有效,电子,（京）JZ安许证字[2023]053374,北京鼎艺鑫泰建筑装饰工程有限公司,/,91110116MA00CNP12J,北京市怀柔区北房镇幸福西街3号1幢101室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-08,,2026-03-07,,
8158,有效,电子,（京）JZ安许证字[2023]053439,北京博大易泊停车管理有限公司,/,91110114MA01NAL47G,北京市昌平区回龙观镇北清路1号院8号楼12层2单元1201-1,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,,2026-03-13,,
8159,有效,电子,（京）JZ安许证字[2023]053440,北京市金龙腾装饰设计有限公司,/,91110105064895966B,北京市朝阳区望京园602号楼8层919,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-04-24,,2026-03-13,,
8160,有效,电子,(京)JZ安许证字〔2023〕053148,森特士兴环保科技有限公司,/,91110400MA04H4RA82,北京市北京经济技术开发区永昌东四路10号院1号楼4层101,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-02-07,,2026-02-06,,
8161,有效,电子,(京)JZ安许证字〔2023〕053149,北京上元时代科技有限公司,/,91110107397746280Q,北京市石景山区实兴大街30号院3号楼2层A-0435房间,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-07,,2026-02-06,,
8162,有效,电子,(京)JZ安许证字〔2023〕053150,北京晟世兴业建筑工程有限公司,/,91110114MABPENX68E,北京市昌平区昌平镇南关路1号楼4层1-513,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-02-08,,2026-02-07,,
8163,有效,电子,（京）JZ安许证字[2023]053151,北京跃盛嘉禾建筑有限公司,/,91110117MAC092D659,北京市平谷区刘家店镇银店大街1号328室-220264(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-08,,2026-02-07,,
8164,有效,电子,(京)JZ安许证字〔2023〕053152,北京东方绿锦园林工程有限公司,/,911101145808520303,北京市昌平区百葛路1号院3号楼-1至2层3单元302(一层),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-08,,2026-02-07,,
8165,有效,电子,（京）JZ安许证字[2023]053569,北京聚源丰建筑劳务有限公司,/,91110111MABUN342X1,北京市房山区阎富路66号院2号楼1层A2750(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-22,,2026-03-21,,
8166,有效,电子,（京）JZ安许证字[2023]053570,凯源联弘(北京)建筑工程有限公司,/,91110112MA020PBP1P,北京市通州区鑫隅三街11号院2号楼2层101-57,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-22,,2026-03-21,,
8167,有效,电子,（京）JZ安许证字[2023]053571,中业朋旭(北京)建筑工程有限公司,/,91110115MAC1339P6M,北京市大兴区采育镇采南路9号1层1731室(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-22,,2026-03-21,,
8168,有效,电子,（京）JZ安许证字[2023]053572,北京龙元建筑工程管理有限公司,/,91110106078558709B,北京市房山区良乡玉竹园一里畅龙苑4号楼北2层216,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-22,,2026-03-21,,
8169,有效,电子,（京）JZ安许证字[2023]053573,北京成泰恒工程建设有限公司,/,91110228MA01N3J370,北京市密云区巨各庄镇政府208室-914(巨各庄镇集中办公区),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8170,有效,电子,（京）JZ安许证字[2023]053574,北京中城建筑劳务有限公司,/,91110115MA04DGTL1C,北京市大兴区宏业东路1号院6号楼1层101-388,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8171,有效,电子,（京）JZ安许证字[2023]053575,北京启元天成建筑工程有限公司,/,91110118MAC57T5M2B,北京市密云区西大桥路33号1至3层6(315),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8172,有效,电子,（京）JZ安许证字[2023]053576,北京兴达信程装饰设计有限公司,/,9111011459966526XD,北京市昌平区城南街道中兴路21号院1号楼11层1121,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8173,有效,电子,（京）JZ安许证字[2023]053577,北京至建建筑工程有限公司,/,91110109MABQ1R8U63,北京市门头沟区中门寺街69号43幢118号(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8174,有效,电子,（京）JZ安许证字[2023]053578,北京中关村智连安全科学研究院有限公司,/,91110229MA01JQ3D8F,北京市延庆区妫水北街5号院5号楼1-2层101(中关村延庆园),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8175,有效,电子,（京）JZ安许证字[2023]053579,北京健创建筑工程有限公司,/,91110109MA7L7KDN2X,北京市门头沟区石龙工业区美安路1号2幢0705(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8176,有效,电子,（京）JZ安许证字[2023]053580,北京宏驭建筑工程有限公司,/,91110117MA7CXFMP64,北京市平谷区东高村镇东高村兴业路55号-211157(集群注册),有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-04-20,,2026-03-22,,
8177,有效,电子,（京）JZ安许证字[2023]053581,北京嘉煜达建筑工程有限公司,/,91110228MA01EBTGXT,北京市密云区高岭镇政府办公楼208室-2055(高岭镇集中办公区),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8178,有效,电子,（京）JZ安许证字[2023]053582,北京中瑞兴隆仓储保管有限公司,/,91110111558517113D,北京市房山区青龙湖镇沙窝村村南202号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8179,有效,电子,（京）JZ安许证字[2023]053583,北京乾元昆泰建筑装饰工程有限公司,/,91110108061291841G,北京市海淀区花园路四号702室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8180,有效,电子,（京）JZ安许证字[2023]053584,北京中防建筑劳务有限公司,/,91110111MA04FAKB78,北京市房山区阎富路66号院2号楼1层A0944(集群注册),有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8181,有效,电子,（京）JZ安许证字[2023]053585,北京银盛伟业建筑工程有限公司,/,911101156675041359,北京市大兴区天水大街46号院2号楼5层523,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8182,有效,电子,（京）JZ安许证字[2023]053586,北京晗林房地产开发有限公司,/,91110113MAC1UC0L8K,北京市顺义区北高路赵全营段20号院3号楼1层103,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8183,有效,电子,（京）JZ安许证字[2023]053587,中世诺(北京)科技发展有限公司,/,91110106784841376Q,北京市北京经济技术开发区地盛北街1号院36号楼805,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8184,有效,电子,(京)JZ安许证字〔2023〕053260,铭杰建筑工程(北京)有限公司,/,91110112764207634X,北京市通州区梨园路128号84幢2层201室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-17,,2026-02-16,,
8185,有效,电子,(京)JZ安许证字〔2023〕053261,北京融录建设工程有限公司,/,91110109MAC1ABM39Q,北京市大兴区金盛大街2号院12号楼1层101-11,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-17,,2026-02-16,,
8186,有效,电子,(京)JZ安许证字〔2023〕053262,海知健(北京)装饰工程有限公司,/,91110111MA01J49267,北京市房山区良乡凯旋大街建设路18号—D5666,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-17,,2026-02-16,,
8187,有效,电子,(京)JZ安许证字〔2023〕053268,北京金马腾越建筑工程有限公司,/,91110113MA01KWNT82,北京市顺义区龙湾屯镇府前街13号北楼594,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-17,,2026-02-16,,
8188,有效,电子,(京)JZ安许证字〔2023〕053269,北京阳春建筑工程有限公司,/,91110109MAC42F9YX5,北京市门头沟区莲石湖西路98号院15号楼-206室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-17,,2026-02-16,,
8189,有效,电子,(京)JZ安许证字〔2023〕053270,北京路森建筑工程有限公司,/,91110115MABPT05F29,北京市大兴区采育镇采南路9号1层1242室(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8190,有效,电子,(京)JZ安许证字〔2023〕053273,北京逸垣建筑工程有限公司,/,91110115MA7KAYLT60,北京市大兴区礼贤镇大礼路2号二层1782室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8191,有效,电子,(京)JZ安许证字〔2023〕053274,北京铭川建筑工程有限公司,/,91110112MA04H94U9G,北京市通州区经济开发区南区漷兴三街1号-A562,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8192,有效,电子,（京）JZ安许证字[2023]053275,北京路捷通公路养护有限公司,/,91110229722687959X,北京市延庆区经济技术开发区物业服务中心422室,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-06-08,,2026-02-19,,
8193,有效,电子,(京)JZ安许证字〔2023〕053276,北京丰慧欣和科技有限公司,/,91110106MA7M10B13F,北京市丰台区南四环西路188号十一区7号楼3层3135,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8194,有效,电子,(京)JZ安许证字〔2023〕053279,北京合众荣创建筑科技有限公司,/,91110113MA01D0BH8H,北京市顺义区赵全营镇兆丰产业基地园盈路7号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8195,有效,电子,(京)JZ安许证字〔2023〕053281,北京筑密安建筑工程有限公司,/,91130802MA7MTXYB4E,北京市密云区石城镇政府办公楼402室-1961(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8196,有效,电子,(京)JZ安许证字〔2023〕053282,北京旭超建筑工程有限公司,/,91110111MA04GU5J7J,北京市房山区良乡凯旋大街建设路18号—D17189(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8197,有效,电子,（京）JZ安许证字[2023]053441,北京润富通达建筑工程有限公司,/,91110111MAC501ND99,北京市房山区西潞街道长虹西路73号1幢1层J256(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-16,,2026-03-13,,
8198,有效,电子,（京）JZ安许证字[2023]053442,北京国诺永新机电设备安装工程有限公司,/,91110105685770648N,北京市朝阳区化工路59号院1号楼1至14层01内B座三层354室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,,2026-03-13,,
8199,有效,电子,（京）JZ安许证字[2023]053446,北京平安燕京建筑工程有限公司,/,91110109MA01M0HN4H,北京市密云区行宫街21号楼21-3(3044),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,,2026-03-13,,
8200,有效,电子,(京)JZ安许证字〔2023〕053166,北京晟旭阳建筑工程有限公司,/,91110109MA7KHNKA24,北京市门头沟区王平镇王平大街东路18号-WP1139(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-09,,2026-02-08,,
8201,有效,电子,(京)JZ安许证字〔2023〕053168,北京奕腾生态环境有限公司,/,91110116MA01YU1A34,北京市密云区古北口镇古御路21号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-09,,2026-02-08,,
8202,有效,电子,(京)JZ安许证字〔2023〕053169,北京吉源建筑有限公司,/,91110109076610593F,北京市门头沟区石龙经济开发区永安路20号1号楼12层4单元1202-620室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-09,,2026-02-08,,
8203,有效,电子,（京）JZ安许证字[2023]053588,北京方华电力建设有限公司,/,911101110672692662,北京市怀柔区桥梓镇兴桥大街1号南楼203室(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8204,有效,电子,（京）JZ安许证字[2023]053589,中良浩泽(北京)建筑有限公司,/,911101053183395301,北京市顺义区北石槽镇北武路1号院内丙戊107号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-07,,2026-03-22,,
8205,有效,电子,（京）JZ安许证字[2023]053590,北京荣基建筑机械设备租赁有限公司,/,91110114MA01EWF4XC,北京市昌平区东小口镇天通东苑三区30号楼1至3层101一层125,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8206,有效,电子,（京）JZ安许证字[2023]053591,北京鸿宇恒盛建筑工程有限公司,/,91110111MA0097LF11,北京市房山区阎富路66号院2号楼1层A0532(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8207,有效,电子,（京）JZ安许证字[2023]053592,北京权佳建筑工程有限公司,/,91110114MABT7JBL52,北京市昌平区建材城西路87号院1号楼3层3078,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8208,有效,电子,（京）JZ安许证字[2023]053593,北京诚琰建设工程有限公司,/,91110117MAC7C1HL3A,北京市平谷区南独乐河镇同乐路145号230033(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8209,有效,电子,（京）JZ安许证字[2023]053594,北京左赢建筑工程有限公司,/,91110109MA01MQYY3X,北京市门头沟区清水镇上达么村SDMC006号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,,2026-03-22,,
8210,有效,电子,（京）JZ安许证字[2023]053595,北京合欣博睿电气工程有限公司,/,91110115MA01W3X51C,北京市大兴区瀛海镇镇区瀛顺路9号8号楼5层5191,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-24,,2026-03-23,,
8211,有效,电子,（京）JZ安许证字[2023]053596,北京金源瑞达建设有限公司,/,91110111MAC92J5K57,北京市房山区天星街1号院10号楼12层1201-C0092(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-24,,2026-03-23,,
8212,有效,电子,（京）JZ安许证字[2023]053447,北京久诚恒安建筑工程有限公司,/,91110109MA04F31G8U,北京市门头沟区王平镇王平大街东路18号-WP972(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-14,,2026-03-13,,
8213,有效,电子,（京）JZ安许证字[2023]053636,北京腾速通信科技有限公司,/,91110108069636904W,北京市海淀区连桥二街11号院3号楼10层1010A-1,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-28,,2026-03-27,,
8214,有效,电子,（京）JZ安许证字[2023]053638,北京自如住房租赁有限公司,/,91110228MA001HEP2E,北京市密云区经济开发区兴盛南路8号开发区办公楼501室-1466,有限责任公司(台港澳法人独资),北京市住房和城乡建设委员会,2023-03-28,,2026-03-27,,
8215,有效,电子,（京）JZ安许证字[2023]053639,北京中安华建消防工程有限公司,/,91110109MA01L4BF6K,北京市门头沟区色树坟收购站北1幢122室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-12,,2026-03-27,,
8216,有效,电子,（京）JZ安许证字[2023]053640,北京中土巨森建设工程有限公司,/,91110105095577768R,北京市朝阳区化工路59号院1号楼1至14层01内B座十一层1252室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-13,,2026-03-27,,
8217,有效,电子,（京）JZ安许证字[2023]053654,裕枫(北京)建设工程有限公司,/,91110111MAC3TJMCXF,北京市房山区天星街1号院10号楼12层1201-C0055(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-11,,2026-03-28,,
8218,有效,电子,（京）JZ安许证字[2023]053708,北京华豹科技有限公司,/,91110109MA0194HX6Y,北京市门头沟区莲石湖西路98号院101幢等6幢4号楼1层A131号(西山创客空间),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-05,,2026-04-04,,
8219,有效,电子,（京）JZ安许证字[2023]053709,北京快安充新能源汽车服务有限公司,/,91110116MA04E0GW0B,北京市怀柔区渤海镇怀沙路536号(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-05,,2026-04-04,,
8220,有效,电子,（京）JZ安许证字[2023]053711,北京利丰宏鑫管道设备有限公司,/,9111010669165693XQ,北京市丰台区马家堡东路121号院7号楼9层1028,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-06,,2026-04-05,,
8221,有效,电子,（京）JZ安许证字[2023]053712,鸿富润(北京)建设工程有限公司,/,91110111MAC3Q0HYXR,北京市房山区天星街1号院10号楼12层1201-C0036(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-06,,2026-04-05,,
8222,有效,电子,（京）JZ安许证字[2023]053713,北京正鸿石建筑加固工程有限公司,/,911101065960578240,北京市通州区兴贸三街18号院9号楼2单元505室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-12,,2026-04-05,,
8223,有效,电子,(京)JZ安许证字〔2023〕053243,北京誉季建筑工程有限公司,/,91110111MAC6D2K679,北京市房山区天星街1号院10号楼12层1201-C0062(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-15,,2026-02-14,,
8224,有效,电子,（京）JZ安许证字[2023]053597,北京上方建设工程有限公司,/,911101056684340362,北京市朝阳区来广营乡清河营村清河营郊野公园院内,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-24,,2026-03-23,,
8225,有效,电子,（京）JZ安许证字[2023]053598,北京京兴意达建筑工程有限公司,/,91110117MA7L44KQ1X,北京市平谷区马坊镇金塔西园15号-220063(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-24,,2026-03-23,,
8226,有效,电子,（京）JZ安许证字[2023]053653,北京翔远建达建筑装饰工程有限公司,/,91110106MABR1P1446,北京市平谷区南独乐河镇同乐路145号220234(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-29,,2026-03-28,,
8227,有效,电子,（京）JZ安许证字[2023]053656,北京海昌建设发展有限公司,/,91110111MA01HB9D47,北京市房山区西潞街道长虹西路73号1幢1层J9,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-29,,2026-03-28,,
8228,有效,电子,(京)JZ安许证字〔2023〕053283,北京华宇博通建筑工程有限公司,/,91110119MABPU3MH07,北京市延庆区张山营镇中羊坊村原中羊坊加油站办公楼167号(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,,2026-02-19,,
8229,有效,电子,(京)JZ安许证字〔2023〕053286,北京远昌盛世安装设备有限公司,/,91110111699553978C,北京市房山区长阳万兴路86号F-450,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-21,,2026-02-20,,
8230,有效,电子,(京)JZ安许证字〔2023〕053294,北京悦鹏市政工程有限公司,/,911101173583158598,北京市平谷区平谷镇谷丰东路12-28(西)201室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-21,,2026-02-20,,
8231,有效,电子,（京）JZ安许证字[2023]053295,北京隆鑫建筑劳务有限公司,/,91110117MA7DENWN2F,北京市平谷区迎宾街1号院2号楼7层1单元703,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-31,,2026-02-20,,
8232,有效,电子,(京)JZ安许证字〔2023〕053300,中海鸿通(北京)建设有限公司,/,91110109MABM5A36X3,北京市门头沟区雁翅镇高芹路1号院YC-1914号(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-21,,2026-02-20,,
8233,有效,电子,（京）JZ安许证字[2023]053449,北京跃启禾信建筑有限公司,/,91110118MAC3JXE71J,北京市密云区光明街5号楼(3层620),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-14,,2026-03-13,,
8234,有效,电子,（京）JZ安许证字[2023]053490,中城赤建(北京)建设工程有限公司,/,91110109MA02B11LXE,北京市门头沟区大台粮库4幢2层207,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-16,,2026-03-15,,
8235,有效,电子,（京）JZ安许证字[2023]053615,北京徽凰建设工程有限公司,/,91110111MA7CY1F633,北京市房山区良乡凯旋大街建设路18号—D17756(集群注册),有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-27,,2026-03-26,,
