行政相对人名称,行政相对人代码1(统一社会信用代码),行政相对人代码2(工商注册号),行政相对人代码3(组织机构代码),行政相对人代码4(税务登记号),行政相对人代码5(事业单位证书号),行政相对人代码6(社会组织登记证号),法定代表人,法定代表人证件类型,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,/
张家口劲驰崴商贸有限公司,91130703MA07T3181B,/,/,/,/,/,刘*波,身份证,京交法(13)字西20010201,违反了《中华人民共和国道路运输条例》第三十三条之规定,"张家口劲驰崴商贸有限公司未携带道路运输证驾驶冀G95307、冀GHB78挂挂号货车从事道路运输一案。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。根据《中华人民共和国道路运输条例》第六十八条之规定,应予处罚。","根据《中华人民共和国道路运输条例》第六十八条之规定,应予处罚。",罚款,"2020年1月2日7时30分, 张家口劲驰崴商贸有限公司的驾驶员吴凤宝驾驶冀G95307、冀GHB78挂号货物运输车辆,行驶至康庄公路交通检查站,经执法人员张志强(执法证号:11310113)、谷建利(执法证号:11310170)示证检查:该车取得普通货物道路运输证, 张家口劲驰崴商贸有限公司未按规定随车携带冀G95307、冀GHB78挂号车辆道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-01-02,2020-01-05,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口明远新能源有限公司,91130706MA07PD910T,/,/,/,/,/,陈*东,身份证,京交法(13)字西20010202,违反了《中华人民共和国道路运输条例》第三十三条之规定,"张家口明远新能源有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,《中华人民共和国道路运输条例》第六十八条的规定,应予处罚。",根据《中华人民共和国道路运输条例》第六十八条的规定,罚款,"张家口明远新能源有限公司的驾驶员叶长青驾驶冀G.E6700、冀GPM89挂号货物运输车辆,行驶至康庄公路交通检查站,经执法人员张志强(执法证号:11310113)、谷建利(执法证号:11310170)示证检查:该车取得普通货物道路运输证, 张家口明远新能源有限公司未按规定随车携带冀G95307、冀GHB78挂号车辆道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-01-02,2020-01-05,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京鑫源广汇财税服务有限公司,91110113MA01CJAB93,/,/,/,/,/,董*华,身份证,京交法(13)字伍20010201,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"北京鑫源广汇财税服务有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应给予处罚.","根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应给予处罚。",罚款,"2020年1月2日9时00分,荣立春驾驶的京AKK635号货物运输车辆 ,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、林桐树(执法证号:11310131)示证检查:车辆所属北京鑫源广汇财税服务有限公司 , 运输货物为炝渣石,从延庆区到昌平区,该公司已取得道路运输经营许可,但使用的车牌号为京AKK635号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-01-02,2020-01-02,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京财富基石商贸有限公司,91110113MA01D51L07,/,/,/,/,/,董*华,身份证,京交法(13)字伍20010202,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"北京财富基石商贸有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应给予处罚。","根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应给予处罚。",罚款,"2020年1月2日10时00分,孙泽宇驾驶的京ACT839号货物运输车辆 ,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、林桐树(执法证号:11310131)示证检查:车辆所属北京财富基石商贸有限公司 , 运输货物为炝渣石,从延庆区到昌平区,该公司已取得道路运输经营许可,但使用的车牌号为京ACT839号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-01-02,2020-01-02,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京佳盈骏通货物运输有限公司,91110105MA00B3TN8W,/,/,/,/,/,李*,身份证,京交法(13)字张山营201001,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"北京佳盈骏通货物运输有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定。,罚款,"2020年1月2日10时00分,李文龙驾驶的京AEP931号货物运输车辆 ,行驶至玉海路玉渡山路口,经执法人员张伟(执法证号:11310095)、赵栋栋(执法证号:11310150)示证检查:车辆所属北京佳盈骏通货物运输有限公司,运输货物为砂石,从延庆区到昌平区,该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的京AEP931号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-01-02,2020-01-03,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
中农绿康(北京)生物技术有限公司,911102296691166701,/,/,/,/,/,王*斗,身份证,延环保车罚字〔2019〕123号,《中华人民共和国大气污染防治法》第五十一条第一款,"我局于2019年11月28日对你(单位)进行了调查,发现你(单位)使用的型号为FD-30,编号为312030603098的龙工牌叉车排气烟度光吸收系数为3.61m-1,超过《非道路柴油移动机械排气烟度限值及测量方法》(GB 36886-2018)规定的烟度排放限值。",《中华人民共和国大气污染防治法》第一百一十四条第一款,罚款,"责令改正,并处人民币伍仟元罚款。",0.5,/,/,2020-01-02,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京碧晟凤盈房地产开发有限公司,91110229MA01CL6RXJ,/,/,/,/,/,李*臣,身份证,延水罚字【2020】第1号,《北京市排水和再生水管理办法》第十八条第三项,向排水设施倾倒垃圾,《北京市排水和再生水管理办法》第三十八条第一项,罚款,罚款,3,/,/,2020-01-07,2020-01-13,/,北京市延庆区水务局,11110229000117938X,/,北京市延庆区水务局,11110229000117938X,/
天津市硕通运输有限公司,91120225MA05MAEQ07,/,/,/,/,/,王*杰,身份证,京交法(13)字稽20011402,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"天津市硕通运输有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定。,罚款,"2020年1月14日7时00分,延庆区交通局执法大队执法检查过程中发现司机郭永保驾驶的津C57958号货物运输车辆 ,行驶至延庆区古龙路,经执法人员付景腾(执法证号:11310126)、时岳峰(执法证号:11310096)示证检查:车辆所属天津市硕通运输有限公司, 驾驶空车,从延庆松山到延庆玉皇庙,该公司已取得道路运输经营许可,但使用的车牌号为津C57958号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-01-14,2020-01-14,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
天津坤鹏运输服务有限公司,91120225MA06HKGR2E,/,/,/,/,/,王*,身份证,京交法(13)字稽20011401,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"天津坤鹏运输服务有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定,罚款,"2020年1月14日10时00分,张军驾驶的津CA9502号货物运输车辆 ,行驶至延庆区古龙路,经执法人员丁争志(执法证号:11310052)、陈萌(执法证号:171600026)示证检查:车辆所属天津坤鹏运输服务有限公司, 驾驶空车,从松山到玉皇庙,该公司已取得道路运输经营许可,但使用的车牌号为津CA9502号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-01-14,2020-01-14,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京兰天宫餐饮有限公司,92110229MA016CHX13,/,/,/,/,/,陈*辉,身份证,延环保监察罚字[2019]096号,《北京市环境噪声污染防治办法》第三十条,"2019年9月12日,我局委托北京市延庆区环境保护监测站对该单位边界环境噪声进行检测,根据9月23日编号为[2019]JD-208噪声检测报告显示,该单位噪声检测点厨房油烟净化设备北侧1米处昼间噪声值为68.7dB,烤串油烟净化设备北侧1米处昼间噪声检测值为76dB,均超过《社会生活环境噪声排放标准GB22337-2008》1类功能区社会生活噪声昼间排放限值55dB。我局于2019年9月30日,下达《责令改正违法行为决定书》(延环保责改字【2019】ZL196号),责令该单位于2019年10月15日之前采取降噪措施,做到达标排放。2019年10月23日,我局委托北京市延庆区环境保护监测站对该单位噪声进行复测,根据10月24日编号为[2019]JD-220噪声检测报告显示,该单位噪声检测点厨房油烟净化设备北侧1米处昼间噪声值为63dB,烤串油烟净化设备北侧1米处昼间噪声检测值为73.1dB,均超过《社会生活环境噪声排放标准GB22337-2008》1类功能区社会生活噪声昼间排放限值55dB。",《北京市环境噪声污染防治办法》第四十二条,罚款,处人民币贰万元罚款,2,/,/,2020-01-09,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京航科恒创科技发展有限公司,91110108745482008D,/,/,/,/,/,王*革,身份证,延环保监察罚字[2019]120号,《中华人民共和国大气污染防治法》第四十五条,"2019 年11月20日,我局执法人员对该单位进行现场检查,发现该单位喷漆工艺未安装大气污染防治设施。",《中华人民共和国大气污染防治法》第一百零八条第一款第一项,罚款,处以2万元罚款。,2,/,/,2020-01-09,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京航科恒创科技发展有限公司,91110108745482008D,/,/,/,/,/,王*革,身份证,延环保监察罚字[2019]123号,《中华人民共和国固体废物污染环境防治法》第五十二条,"2019 年11月20日,我局执法人员对该单位进行现场检查,发现该单位危险废物贮存场所未张贴危险废物识别标志。",《中华人民共和国固体废物污染环境防治法》第七十五条第一款第一项、第二款,罚款,处以1万元罚款。,1,/,/,2020-01-09,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京市京北机动车检测场,911102291030594861,/,/,/,/,/,辛*印,身份证,延环保车罚字〔2019〕120号,《北京市大气污染防治条例》第六十八条第一款,"2019年10月11日,我局通过查询检测场在线监控系统,发现车牌号为冀GB1688、京EN6067等24辆柴油车在年度排放检中采用自由加速法进行检测,其检测数据中车辆转速恒定且明显低于《柴油车污染物排放限值及测量方法》(GB3847-2018)的相关要求。",《北京市大气污染防治条例》第一百一十三条,罚款,处人民币壹万元罚款,1,/,/,2020-01-09,2099-12-31,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
魏氏金业(北京)建筑工程有限公司,91110116MA0180UJ82,/,/,/,/,/,魏*金,身份证,(京延)应急罚〔2020〕004号,违反了 《中华人民共和国安全生产法》第二十五条第四款 的规定,"2020年1月7日,我局执法人员对魏氏金业(北京)建筑工程有限公司位于国家高山滑雪中心、国家雪车雪橇中心及配套设施项目LNG站房施工现场进行执法检查时,发现该单位存在未如实记录安全生产教育和培训的时间、地点、参加人员以及考核结果等情况1项安全生产隐患,我局下达了《责令限期整改指令书》,责令限期整改。","依据 《中华人民共和国安全生产法》第九十四条第(四)项,参照《北京市安全生产行政处罚自由裁量基准》第一节第一部分第(八)项 的规定",罚款,"2020年1月7日,我局执法人员对魏氏金业(北京)建筑工程有限公司位于国家高山滑雪中心、国家雪车雪橇中心及配套设施项目LNG站房施工现场进行执法检查时,发现该单位存在未如实记录安全生产教育和培训的时间、地点、参加人员以及考核结果等情况1项安全生产隐患,我局下达了《责令限期整改指令书》,责令限期整改。证明以上违法事实的证据有:证据一:《责令限期整改指令书》(京延)应急责改[2020]执00053号;证据二:《现场检查记录》(京延)应急检记[2020]执00122号;证据三:《现场检查方案》(京延)应急检查[2020]执00124号;证据四:询问笔录1份;证据五:企业法人营业执照(副本)复印件1份;证据六:居民身份证复印件2份;证据七:法定代表人授权委托书1份;证据八:现场检查照片1张。
以上事实违反了 《中华人民共和国安全生产法》第二十五条第四款 的规定,依据 《中华人民共和国安全生产法》第九十四条第(四)项,参照《北京市安全生产行政处罚自由裁量基准》第一节第一部分第(八)项 的规定,决定给予 处人民币壹万元罚款的行政处罚。",1,/,/,2020-01-16,2050-01-16,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京明和堂医药有限公司第四诊所,91110229MA00CYN365,/,/,/,/,/,白*东,身份证,京延卫医罚[2020]1号,《医疗机构管理条例》第二十八条,使用非卫生技术人员从事医疗技术工作,《医疗机构管理条例》第四十八条、《医疗机构管理条例实施细则》第八十一条第一款,罚款,"2020年1月2日北京市延庆区卫生健康委员会监督员在监督检查时发现:北京明和堂医药有限公司第四诊所使用非卫生技术人员从事医疗技术工作。上述行为违反了《医疗机构管理条例》第二十八条,现依据《医疗机构管理条例》第四十八条、《医疗机构管理条例实施细则》第八十一条第一款,决定给予该单位罚款人民币3000元整的行政处罚。",0.3,/,/,2020-01-19,2099-12-31,/,北京市延庆区卫生健康委员会,11110229330358224C,/,北京市延庆区卫生健康委员会,11110229330358224C,/
南通润五建筑工程有限公司,91320612MA1UW3CR69,/,/,/,/,/,仇*堂,身份证,(京延)应急罚〔2020〕002号,安全生产隐患管理类违法,未将事故隐患排查治理情况如实记录,《中华人民共和国安全生产法》第九十四条第(五)项规定,罚款,未将事故隐患排查治理情况如实记录,0.6,/,/,2020-01-19,2020-02-03,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
南通润五建筑工程有限公司,91320612MA1UW3CR69,/,/,/,/,/,仇*堂,身份证,(京延)应急罚〔2020〕003号,安全生产特种作业类违法,特种作业人员未按照规定持证上岗作业,依据《中华人民共和国安全生产法》第九十四条第(七)项规定,罚款,特种作业人员未按照规定持证上岗作业,0.6,/,/,2020-01-19,2020-02-03,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
西安众泰人和钻井工程有限公司,91610113MA6W401D1M,/,/,/,/,/,罗*华,身份证,(京延)应急罚〔2020〕006号,安全生产资金投入类违法,未为从业人员提供符合标准的劳动防护用品,依据《中华人民共和国安全生产法》第九十六条第(四)项规定,罚款,未为从业人员提供符合标准的劳动防护用品,0.6,/,/,2020-01-19,2020-02-03,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
西安众泰人和钻井工程有限公司,91610113MA6W401D1M,/,/,/,/,/,罗*华,身份证,(京延)应急罚〔2020〕007号,安全生产特种作业类违法,特种作业人员未按照规定持证上岗作业,依据 《中华人民共和国安全生产法》第九十四条第(七)项的规定,罚款,特种作业人员未按照规定持证上岗作业,0.6,/,/,2020-01-19,2020-02-03,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
天津运八方商贸有限公司,91120225MA06HK7550,/,/,/,/,/,邹*华,身份证,京交法(13)字稽20011701,违反了《中华人民共和国道路运输条例》第二十六条第二款之规定,"未采取必要措施,防止货物脱落、扬撒。此行为违反了《中华人民共和国道路运输条例》第二十六条第二款之规定根据《中华人民共和国道路运输条例》第六十九条第(五)项的规定,应予处罚。",根据《中华人民共和国道路运输条例》第六十九条第(五)项的规定,罚款,"2020年1月10日12时40分,延庆区交通局执法大队在妫川路检查时发现车号为冀B8603H、津BT020挂号货物运输车辆,经执法人员时岳峰(执法证号:11310096)、付景腾(执法证号:11310126)示证检查:检查过程中发现,该车辆取得普通货物道路运输证,运输货物为废铁,从延庆区米家堡到唐山。该车拉的货物容易脱落、扬撒,没有完全苫盖。该车的这种行为属于未采取必要措施,防止货物脱落、扬撒。此行为违反了《中华人民共和国道路运输条例》第二十六条第二款之规定。以上违法事实有现场笔录、询问笔录、证据材料等予以佐证。",0.15,/,/,2020-01-17,2020-01-17,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
高安市弘康汽运有限公司?,91360983MA37NHF65X,/,/,/,/,/,邹*,身份证,京交法(13)字伍20010101,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定,"高安市弘康汽运有限公司?擅自改装已取得道路运输证车辆,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定,根据《中华人民共和国道路运输条例》第七十条第二款之规定,应予处罚",根据《中华人民共和国道路运输条例》第七十条第二款之规定,罚款,"2020年1月1日9时00分,胡涛驾驶的赣C-3339W号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、林桐树(执法证号:11310131)示证检查:该车取得普通货物道路运输证,运输货物为石头,从延庆区千家店到昌平区,在检查过程中,执法人员发现,该车在车厢两侧栏板原基础上加高了700毫米,这是属于擅自改装已取得道路运输证车辆的行为。此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定。以上违法事实有现场笔录、询问笔录、照片资料、证件复印件等予以佐证。当事人无陈述申辩意见。",0.8,/,/,2020-01-01,2020-01-01,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
怀来鼎泰运输有限公司,91130730MA08A04C2P,/,/,/,/,/,佟*兴,身份证,京交法(13)字西20010101,违反了《中华人民共和国道路运输条例》第三十三条之规定,"怀来鼎泰运输有限公司的驾驶员佟振兴未随车携带道路运输证驾驶冀GP7091冀GGP79挂号货物运输车辆,违反了《中华人民共和国道路运输条例》第三十三条之规定,根据《中华人民共和国道路运输条例》第六十八条的规定,应与处罚。",根据《中华人民共和国道路运输条例》第六十八条的规定,罚款,"2020年01月01日10时00分怀来鼎泰运输有限公司的驾驶员佟振兴驾驶冀GP7091冀GGP79挂号货物运输车辆,行驶至北京市康庄公路交通检查站,经执法人员张春立(执法证号:11310127)、蒋维民(执法证号:11310205)示证检查:该车取得普通货物道路运输证,空车,怀来鼎泰运输有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-01-01,2020-01-01,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
唐山市丰润区友来大运货运有限公司,91130221082660167T,/,/,/,/,/,王*华,身份证,京交法(13)字西20010102,违反了《中华人民共和国道路运输条例》第三十三条之规定,"唐山市丰润区友来大运货运有限公司的驾驶员王宏华未随车携带道路运输证驾驶冀B.4458H冀B.27U2号货物运输车辆,违反了《中华人民共和国道路运输条例》第三十三条之规定,根据《中华人民共和国道路运输条例》第六十八条的规定,应与处罚。",根据《中华人民共和国道路运输条例》第六十八条的规定,罚款,"2020年01月01日13时00分唐山市丰润区友来大运货运有限公司的驾驶员王宏华驾驶冀B.4458H冀B.27U2号货物运输车辆,行驶至北京市康庄公路交通检查站,经执法人员张春立(执法证号:11310127)、蒋维民(执法证号:11310205)示证检查:该车取得普通货物道路运输证,空车,唐山市丰润区友来大运货运有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-01-01,2020-01-01,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
高安盛世平安物流有限公司,91360983MA3600QP84,/,/,/,/,/,罗*明,身份证,京交法(13)字伍20010102,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"高安盛世平安物流有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应给予处罚",根据《道路货物运输及站场管理规定》第五十九条第一款之规定,罚款,"2020年1月1日10时00分,刘海波驾驶的赣C1952U号货物运输车辆 ,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、林桐树(执法证号:11310131)示证检查:车辆所属高安盛世平安物流有限公司, 运输货物为石头,从延庆区玉皇庙到昌平区,该公司已取得道路运输经营许可,但使用的车牌号为赣C1952U号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-01-01,2020-01-01,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京博瑞亨通运输有限公司,911103040672508133,/,/,/,/,/,谷*亮,身份证,京交法(13)字稽19123103,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"北京博瑞亨通运输有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应予处罚。",根据《道路货物运输及站场管理规定》第五十九条第一款之规定,罚款,"2019年12月31日10时00分,区交通局执法大队、交通队和城管联合执法检查中发现,高金龙驾驶的京AN8507号货物运输车辆 ,行驶至延庆区大浮坨,经执法人员帅华利(执法证号:11310128)、刘玉山(执法证号:11310055)示证检查:车辆所属北京博瑞亨通运输有限公司, 运输货物为炮渣石,从玉渡山到昌平,该公司已取得道路运输经营许可,但使用的车牌号为京AN8507号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2019-12-31,2019-12-31,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
高安盛世平安物流有限公司,91360983MA3600QP84,/,/,/,/,/,罗*明,身份证,京交法(13)字稽19123102,违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,"高安盛世平安物流有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第一款之规定,根据《道路货物运输及站场管理规定》第五十九条第一款之规定,应予处罚",根据《道路货物运输及站场管理规定》第五十九条第一款之规定,罚款,"2019年12月31日10时00分,区交通局执法大队、交通队和城管联合执法检查中发现,弓晓栋驾驶的赣C6861U号货物运输车辆 ,行驶至延庆区大浮坨,经执法人员聂征(执法证号:11310151)、王建军(执法证号:11310088)示证检查:车辆所属高安盛世平安物流有限公司, 运输货物为炮渣石,从玉渡山到昌平,该公司已取得道路运输经营许可,但使用的车牌号为赣C6861U号货物运输车辆未取得道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输。违反了《道路货物运输及站场管理规定》第五十九条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2019-12-31,2019-12-31,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京远诚畅通运输有限公司,91110106MA00A4EA3T,/,/,/,/,/,靳*西,身份证,京交法(13)字高2020001,违反了《中华人民共和国道路运输条例》第三十三条之规定,"北京远诚畅通运输有限公司未携带道路运输证驾驶京ADT653货车从事道路运输一案。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。根据《中华人民共和国道路运输条例》第六十八条之规定,应予处罚。",根据《中华人民共和国道路运输条例》第六十八条,罚款,"2020年1月1日18时55分,王学东驾驶京ADT653号货物运输车辆,行驶至北京市延庆区康庄高速综检站被两名执法人员检查。(贾静坤, 11310161;祁峰,11310091)经查,当事人王学东驾驶该车由河北省张家口市到北京市丰台区,运输货物,该车驾驶员未携带道路运输证。后用微信将复印件传来。该车的行为违反了《中华人民共和国道路运输条例》第三十三条的规定。以上违法事实有证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-01-01,2020-01-02,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
凤城市鑫合运输有限公司,91210682MA0UBDTC2Y,/,/,/,/,/,赵*涛,身份证,京交法(13)字高2020002,违反了《中华人民共和国道路运输条例》第三十三条之规定,"凤城市鑫合运输有限公司未携带道路运输证驾驶辽P31883货车从事道路运输一案。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。根据《中华人民共和国道路运输条例》第六十八条之规定,应予处罚。",根据《中华人民共和国道路运输条例》第六十八条,罚款,"2020年1月1日17时55分,赵海涛驾驶辽P31883号货物运输车辆,行驶至北京市延庆区康庄高速综检站被两名执法人员检查。(贾静坤, 11310161;祁峰,11310091)经查,当事人王现成驾驶该车由河北省怀来县到辽宁省凤城市,运输货物,该车驾驶员未携带道路运输证。后用微信将复印件传来。该车的行为违反了《中华人民共和国道路运输条例》第三十三条的规定。以上违法事实有证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-01-02,2020-01-02,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
