项目名称,项目地址,建设单位,预售证号,发证时间,开发企业名称
璟玥雅苑,北京市怀柔区怀柔新城08街区HR00-0008-6043等地块R2二类居住用地,北京建邦怀憬房地产开发有限公司,京房售证字( 2021 ) 119 号,20210913,北京建邦怀憬房地产开发有限公司
空港吉祥花园,天竺空港工业区B区,北京空港天恒房地产开发有限公司,京房售证字( 2007 ) 237 号,20070704,北京空港天恒房地产开发有限公司
首开缇香雅园,于家务乡乡中心项目C-06、C-08公租房地块，于家务乡乡中心项目（C-10、12地块）,北京首都开发股份有限公司,京房售证字( 2020 ) 47 号,20200523,北京首都开发股份有限公司
亦庄逸家园,北京经济技术开发区河西区X91街区,北京方兴拓赢房地产开发有限公司,京房售证字( 2018 ) 开3号,20180622,北京方兴拓赢房地产开发有限公司
和锦园,常营乡1201-602地块、常营乡1201-603地块,北京致泰房地产开发有限公司,京房售证字( 2018 ) 143 号,20181027,北京致泰房地产开发有限公司
檀香嘉园,潭柘寺MC01-0003-6004地块,北京京投灜德置业有限公司,京房售证字( 2018 ) 146 号,20181101,北京京投灜德置业有限公司
鸿坤花语家园,南磨房乡平乐园小区东六区,北京鸿坤新业房地产开发有限公司,京房售证字( 2021 ) 12 号,20210126,北京鸿坤新业房地产开发有限公司
鑫兆佳园,朝阳区常营乡鑫兆佳园6号塔楼,北京城乡房屋建设开发有限责任公司,京房售证字( 2005 ) 45 号,20050206,北京城乡房屋建设开发有限责任公司
悦然馨苑,长阳镇房山线长阳西站5号地01-06-09地块,中铁房地产集团北京正达置业有限公司,京房售证字( 2013 ) 112 号,20130711,中铁房地产集团北京正达置业有限公司
紫宸苑,瀛海镇镇区改造土地一级开发项目（二期）用地,北京兴海创业投资管理有限公司,京房售证字( 2014 ) 124 号,20140614,北京兴海创业投资管理有限公司
尚锦苑,古城南街东侧（首钢园区东南区）1612-805地块R2二类居住用地,北京金安兴业房地产开发有限公司,京房售证字( 2020 ) 162 号,20201204,北京金安兴业房地产开发有限公司
久敬佳园,丰台区大红门村（大红门一期A区C-3#、C-4#、C-5#楼）,北京中瑞建达房地产开发有限公司,京房售证字(2004)504号,20041103,北京中瑞建达房地产开发有限公司
龙祥誉景花园,天竺空港商务区,北京中投创展置业有限公司,京房售证字( 2014 ) 18 号,20140214,北京中投创展置业有限公司
鑫苑嘉园,大兴区生物医药基地东配套区4号地住宅混合公建、机动车停车场库、邮政设施用地项目,北京鑫苑万众置业有限公司,京房售证字( 2014 ) 21 号,20140221,北京鑫苑万众置业有限公司
倚山庭苑,西北旺新村东南部（Ⅲ期地块）,北京首钢融创置地有限公司,京房售证字( 2012 ) 74 号,20120430,北京首钢融创置地有限公司
汇景苑,阎村镇大董村02-0026地块,北京惠通华远国际会展中心有限公司,京房售证字( 2014 ) 67 号,20140413,北京惠通华远国际会展中心有限公司
绿地花都嘉园,果园街道城后街南侧,北京绿地京宏置业有限公司,京房售证字( 2011 ) 105 号,20110701,北京绿地京宏置业有限公司
禧福汇名苑,南磨房乡平乐园小区西一区、西二区,北京首驰昱达房地产开发有限公司,京房售证字( 2009 ) 55 号,20090328,北京首驰昱达房地产开发有限公司
芳轩园,马坊镇A03-03,北京首城置业有限公司,京房售证字( 2014 ) 110 号,20140525,北京首城置业有限公司
倚山庭苑,西北旺新村东南部（Ⅱ期地块）,北京首钢融创置地有限公司,京房售证字( 2011 ) 81 号,20110617,北京首钢融创置地有限公司
远洋自然家园,大红门西路13号大红门住宅区A-05,北京银帆基业房地产开发有限公司,京房售证字( 2006 ) 343 号,20060903,北京银帆基业房地产开发有限公司
京投银泰园,大红门西路26号,北京京投置地房地产有限公司,京房售证字( 2009 ) 404 号,20091129,北京京投置地房地产有限公司
亦庄逸家园,北京经济技术开发区河西区X91街区,北京方兴拓赢房地产开发有限公司,京房售证字( 2017 ) 开2 号,20170614,北京方兴拓赢房地产开发有限公司
恒盛华庭,海淀区玉泉路玉海园小区四区住宅及配套,北京阳光鑫地置业有限公司,京房售证字( 2009 ) 422 号,20091216,北京阳光鑫地置业有限公司
晓月苑六里,卢沟桥南里12号,北京嘉润鸿达置业有限公司,京房售证字( 2006 ) 562 号,20061231,北京嘉润鸿达置业有限公司
复地时代中心,运河核心区VIII-05、08-2地块F3其它类多功能用地项目,北京复鑫置业有限公司,京房售证字( 2020 ) 98 号,20200814,北京复鑫置业有限公司
尚锦苑,古城南街东侧（首钢园区东南区）1612-812地块R2二类居住用地,北京金安兴业房地产开发有限公司,京房售证字( 2020 )59号,20200605,北京金安兴业房地产开发有限公司
尚锦苑,古城南街东侧（首钢园区东南区）1612-805地块R2二类居住用地,北京金安兴业房地产开发有限公司,京房售证字( 2020 ) 57 号,20200605,北京金安兴业房地产开发有限公司
宝盛里观澳园,东升乡,北京宝晟住房股份有限公司,京房售证字( 2005 ) 402 号,20050821,北京宝晟住房股份有限公司
鑫源国际大厦,成寿寺世纪风景住宅小区G1公建用地,北京中鑫源房地产开发集团有限公司,京房售证字( 2008 ) 433 号,20081206,北京中鑫源房地产开发集团有限公司
石坊院,昌平一街,北京天元广建房地产开发有限公司,京房售证字( 2007 ) 23 号,20070120,北京天元广建房地产开发有限公司
     ,北苑路86号,北京嘉铭房地产开发有限责任公司,京房售证字( 2007 ) 49 号,20070211,北京嘉铭房地产开发有限责任公司
熙晴嘉苑,丰台区长辛店镇张郭庄村A区FT00-0203-6145、FT00-0203-6159地块,北京首开卓越盈泰置业有限公司,京房售证字( 2022 ) 131 号,20220902,北京首开卓越盈泰置业有限公司
清河嘉园,清河镇危改一期1#-7#,北京强佑房地产开发有限公司,京房售证字( 2011 ) 235 号,20111103,北京强佑房地产开发有限公司
双兴南区,仁和镇复兴村,北京宏顺兴房地产开发有限公司,京房售证字( 2022 ) 175号,20221028,北京宏顺兴房地产开发有限公司
臻园,来广营乡土地储备项目A4地块,北京广盈房地产开发有限公司,京房售证字( 2014 ) 111 号,20140525,北京广盈房地产开发有限公司
贤和雅苑,大兴新城核心区H组团DX00-0106-001a地块R2二类居住用地,北京中冶名盈房地产开发有限公司,京房售证字( 2021 ) 152 号,20211026,北京中冶名盈房地产开发有限公司
水岸翠园,雁栖湖柏崖厂村HR-0009-0113地块,北京京雁置业有限责任公司,京房售证字( 2019 ) 105 号,20190901,北京京雁置业有限责任公司
亦玺佳苑,北京经济技术开发区亦庄新城0202街区YZ00-0202-X47R1地块R2二类居住用地,北京中皋京投房地产开发有限公司,京房售证字( 2023 )开 8 号,20231015,北京中皋京投房地产开发有限公司
国瑞熙墅家园,北京市昌平区北七家镇GZT-05-1地块,北京文华盛达房地产开发有限公司,京房售证字( 2018 ) 34 号,20180512,北京文华盛达房地产开发有限公司
程庄北里,程庄子村（大井新村二期1号-7号住宅楼、12号住宅楼）,北京恒旭房地产开发有限公司,京房售证字( 2006 ) 496 号,20061119,北京恒旭房地产开发有限公司
誉燕雅园,六环路土城出口土城新村改造土地一级开发项目A-07地块R2二类居住用地,北京城建兴荣房地产开发有限公司,京房售证字( 2023 ) 115 号,20231021,北京城建兴荣房地产开发有限公司
半岛家园,长阳镇（长阳镇起步区1号地）C地块,北京中粮万科房地产开发有限公司,京房售证字( 2011 ) 37 号,20110417,北京中粮万科房地产开发有限公司
云谷科技中心,北京市海淀北部地区整体开发中关村翠湖科技园HD-0302-195、HD-0302-224地块C2商业金融用地,绿地集团北京京浩置业有限公司,京房售证字( 2016 ) 147 号,20160724,绿地集团北京京浩置业有限公司
住总山澜樾府,南辛堡村、民主村、百眼泉村棚户区改造项目YQ00-0309-0007地块R2二类居住用地,北京住总房地产开发有限责任公司,京房售证字( 2023 ) 138 号,20231212,北京住总房地产开发有限责任公司
学府树家园,清河镇住宅及配套H-10号,北京华润新镇置业有限责任公司,京房售证字( 2015 ) 130 号,20150910,北京华润新镇置业有限责任公司
云华里,十八里店朝阳港一期土地一级开发项目1303-686-1地块等[共2块],北京隅新房地产开发有限公司,京房售证字( 2025 ) 38 号,20250416,北京隅新房地产开发有限公司
潞港商业中心,西潞街道良乡组团06街区06-17-10地块,北京星华蓝光置业有限公司,京房售证字( 2016 ) 214 号,20161022,北京星华蓝光置业有限公司
航城大厦,北京大兴国际机场临空经济区DX12-0105-6006地块F3其他类多功能用地,北京航城兴睿商业管理有限公司,京房售证字( 2025 ) 42 号,20250423,北京航城兴睿商业管理有限公司
知本家园,小屯西路棚户区改造25-132地块,北京城建房地产开发有限公司,京房售证字( 2025 ) 139 号,20251129,北京城建房地产开发有限公司
福兴雅筑小区,黄村镇DX00-0208-6021地块R2二类居住用地,北京诺德兴泰置业有限公司,京房售证字( 2024 ) 93 号,20240928,北京诺德兴泰置业有限公司
碧桂园中心,怀柔镇张各长村HR00-0004-6001地块F2公建混合住宅用地,北京京碧置业发展有限公司,京房售证字( 2019 ) 10 号,20190217,北京京碧置业发展有限公司
福兴雅筑小区,黄村镇DX00-0208-6021地块R2二类居住用地,北京诺德兴泰置业有限公司,京房售证字( 2024 ) 62 号,20240717,北京诺德兴泰置业有限公司
亦玺佳苑,北京经济技术开发区亦庄新城0202街区YZ00-0202-X47R1地块R2二类居住用地,北京中皋京投房地产开发有限公司,京房售证字( 2024 ) 开3 号,20241113,北京中皋京投房地产开发有限公司
榆韵华都家园,永顺镇新建村北侧,北京太和保兴房地产开发有限公司,京房售证字( 2009 ) 193 号,20090621,北京太和保兴房地产开发有限公司
凤鸣苑,小红门乡XHM-10地块,北京新鑫兴业房地产开发有限公司,京房售证字( 2025 ) 21 号,20250320,北京新鑫兴业房地产开发有限公司
玉廊西园,官园（官园危改小区D区西区3-8号楼及南区车库）,北京六合新世纪房地产开发有限公司,京房售证字( 2008 ) 20 号,20080119,北京六合新世纪房地产开发有限公司
程庄北里,程庄子村（大井新村二期1号－7号住宅楼、12号住宅楼）,北京恒旭房地产开发有限公司,京房售证字( 2005 ) 270 号,20050623,北京恒旭房地产开发有限公司
复地中心,运河核心区IX-06地块F3其它类多功能用地,北京复地通盈置业有限公司,京房售证字( 2018 ) 68 号,20180711,北京复地通盈置业有限公司
颐知筑西区,拱辰街道FS00-0110-0035地块,北京城建瑞泰投资发展有限公司,京房售证字( 2025 ) 24 号,20250325,北京城建瑞泰投资发展有限公司
北京经开·壹中心,北京经济技术开发区路东区D1街区,北京经开工大投资管理有限公司,京房售证字( 2018 )开4号,20180625,北京经开工大投资管理有限公司
熙晴嘉苑,长辛店镇张郭庄村A区FT00-0203-6159地块,北京首开卓越盈泰置业有限公司,京房售证字( 2021 ) 177 号,20211129,北京首开卓越盈泰置业有限公司
华欣园,庙城镇政府北侧（时尚岛一期）公共设施项目,北京东亚信中国际会展中心有限公司,京房售证字( 2014 ) 88 号,20140430,北京东亚信中国际会展中心有限公司
昊天商务中心,拱辰街道梅花庄村商业金融项目,北京北方昊天科技有限公司,京房售证字( 2020 ) 172 号,20201213,北京北方昊天科技有限公司
玖运佳苑(一期),北京城市副中心0101街区FZX-0101-0705地块R2二类居住用地、北京城市副中心0101街区FZX-0101-0706地块R2二类居住用地、北京城市副中心0101街区FZX-0101-0708地块R2二类居住用地,北京玖合通运企业管理服务有限公司,京房售证字( 2025 ) 93 号,20250913,北京玖合通运企业管理服务有限公司
太阳宫火星园,太阳宫新区B区(B05、B06、B07地块),北京冠城正业房地产开发有限公司,京房售证字( 2009 ) 325 号,20090927,北京冠城正业房地产开发有限公司
博泰公寓,望京新兴产业区35号地,北京博泰隆房地产开发有限公司,京房售证字( 2005 ) 438 号,20050901,北京博泰隆房地产开发有限公司
未来雅苑,北京大兴国际机场临空经济区0105街区DX16-0105-6037地块F1住宅混合公建用地,北京兴航建科房地产开发有限公司,京房售证字( 2024 ) 120 号,20241129,北京兴航建科房地产开发有限公司
望坛新苑,安乐林路13地块,北京城建兴瑞置业开发有限公司,京房售证字( 2025 ) 9 号,20250228,北京城建兴瑞置业开发有限公司
望坛新苑,安乐林路13地块,北京城建兴瑞置业开发有限公司,京房售证字( 2025 ) 10 号,20250228,北京城建兴瑞置业开发有限公司
紫云家园,长阳镇起步区5号地,北京中粮万科房地产开发有限公司,京房售证字( 2013 ) 218 号,20131130,北京中粮万科房地产开发有限公司
智慧小区,回龙观住宅及代建公建项目（D02A）,北京城市开发集团有限责任公司,京房售证字( 2009 ) 438 号,20091226,北京城市开发集团有限责任公司
三山新新家园,后沙峪镇前沙峪村南,北京奥竺房地产开发有限公司,京房售证字( 2006 ) 45 号,20060209,北京奥竺房地产开发有限公司
顺义东方太阳城,仁和镇河南村,北京东方太阳城房地产开发有限责任公司,京房售证字( 2007 ) 295 号,20070825,北京东方太阳城房地产开发有限责任公司
未来雅苑,北京大兴国际机场临空经济区0105街区DX16-0105-6037地块F1住宅混合公建用地,北京兴航建科房地产开发有限公司,京房售证字( 2025 ) 20 号,20250318,北京兴航建科房地产开发有限公司
云锦中心,大兴新城核心区D、K组团土地一级开发DX00-0102-6027地块B1商业设施用地,北京骏阳房地产开发有限公司,京房售证字( 2025 ) 23 号,20250321,北京骏阳房地产开发有限公司
龙熙商业中心,庞各庄镇PGZ01-12地块商业金融用地项目,北京龙熙丽景房地产开发有限公司,京房售证字( 2013 ) 224 号,20131212,北京龙熙丽景房地产开发有限公司
当代嘉园,玉桥西路东侧,北京润锦房地产开发有限公司,京房售证字( 2020 ) 95 号,20200810,北京润锦房地产开发有限公司
熙园大厦,卢沟桥乡青塔二期西组团,北京金隅大成开发有限公司,京房售证字( 2011 ) 168 号,20110911,北京金隅大成开发有限公司
汇景嘉园,窦店镇（沁园春景二期）（配建回迁安置房）居住项目用地,北京城建和泰房地产开发有限责任公司,京房售证字( 2012 ) 292 号,20121219,北京城建和泰房地产开发有限责任公司
朝新嘉园,东坝乡朝阳新城E组团用地,北京金隅嘉业房地产开发有限公司,京房售证字( 2011 ) 204 号,20111014,北京金隅嘉业房地产开发有限公司
金泰枫景园,石门村路一号,北京金泰恒业有限责任公司,京房售证字( 2007 ) 356 号,20071009,北京金泰恒业有限责任公司
果岭华舍,黄村镇宋庄村,北京亚奥先科房地产开发有限公司,京房售证字( 2011 ) 1 号,20110107,北京亚奥先科房地产开发有限公司
恒汇雅苑,孙河乡北甸西村、北甸东村、西甸村、孙河村2902-31地块R2二类居住用地项目,北京恒榆房地产开发有限公司,京房售证字( 2022 ) 106 号,20220731,北京恒榆房地产开发有限公司
润景茗苑,来广营乡清河营村住宅及配套（2号地2-2地块）,北京春光置地房地产开发有限公司,京房售证字( 2014 ) 47 号,20140329,北京春光置地房地产开发有限公司
望坛新苑,安乐林路6地块、安乐林路5地块,北京城建兴瑞置业开发有限公司,京房售证字( 2022 ) 112 号,20220812,北京城建兴瑞置业开发有限公司
智盈商业中心,拱辰街道办事处及长阳镇09-05-03地块,绿地集团北京京永置业有限公司,京房售证字( 2015 ) 1 号,20150106,绿地集团北京京永置业有限公司
紫云家园,长阳镇（长阳镇起步区5号地）,北京中粮万科房地产开发有限公司,京房售证字( 2013 ) 132 号,20130803,北京中粮万科房地产开发有限公司
紫云家园,长阳镇起步区5号地,北京中粮万科房地产开发有限公司,京房售证字( 2013 ) 90 号,20130611,北京中粮万科房地产开发有限公司
青春天著佳苑,拱辰街道及长阳镇（良乡高教园区4号地）09-05-10地块,北京远山置业有限公司,京房售证字( 2016 ) 242 号,20161201,北京远山置业有限公司
万和四季家园,来广营乡A3地块居住项目,远洋地产有限公司,京房售证字( 2015 ) 86 号,20150703,远洋地产有限公司
万和四季家园,来广营乡A3地块居住项目,远洋地产有限公司,京房售证字( 2014 ) 204 号,20140925,远洋地产有限公司
云锦中心,大兴新城核心区D、K组团土地一级开发DX00-0102-6011地块B1商业设施用地、大兴新城核心区D、K组团土地一级开发DX00-0102-6019地块B1商业设施用地,北京骏阳房地产开发有限公司,京房售证字( 2025 ) 151 号,20251220,北京骏阳房地产开发有限公司
望坛新苑,安乐林路3地块,北京城建兴瑞置业开发有限公司,京房售证字( 2021 ) 178 号,20211124,北京城建兴瑞置业开发有限公司
恒合佳苑,朝阳区孙河乡西甸村、孙河村2902-88地块F1住宅混合公建用地,北京恒合天基房地产开发有限公司,京房售证字( 2021 ) 192 号,20211222,北京恒合天基房地产开发有限公司
乐府家园,半壁店永定路1号,北京天平房地产开发经营有限责任公司,京房售证字( 2005 ) 139 号,20050428,北京天平房地产开发经营有限责任公司
侨禧名苑,南苑乡槐房村和新宫村1404-669地块,北京侨禧投资有限公司,京房售证字( 2017 ) 181 号,20171224,北京侨禧投资有限公司
青春天著佳苑,拱辰街道及长阳镇（良乡高教园区4号地）09-05-10地块,北京远山置业有限公司,京房售证字( 2016 ) 162 号,20160814,北京远山置业有限公司
丽春家园,沙河镇北沙河北侧（丽春湖土地一级开发项目）LCH-008地块R2二类居住用地,北京瑞坤置业有限责任公司,京房售证字( 2017 ) 7 号,20170119,北京瑞坤置业有限责任公司
恒合佳苑,孙河乡西甸村、孙河村2902-88地块F1住宅混合公建用地,北京恒合天基房地产开发有限公司,京房售证字( 2022 ) 36 号,20220402,北京恒合天基房地产开发有限公司
兴荣商务中心,庞各庄镇PGZ01-01、PGZ01-02地块（原庞各庄镇镇区改造项目1号地部分地块）,北京旭天恒置业有限公司,京房售证字( 2016 ) 257 号,20161218,北京旭天恒置业有限公司
青春天著佳苑,拱辰街道及长阳镇（良乡高教园区4号地）09-05-10地块,北京远山置业有限公司,京房售证字( 2017 ) 57 号,20170521,北京远山置业有限公司
长兴家园,长辛店镇张郭庄村长辛店北部居住区一期（南区）居住项目B-45地块,北京万年基业房地产开发有限公司,京房售证字( 2012 ) 233 号,20121011,北京万年基业房地产开发有限公司
檀祥家园,檀营乡6005地块R2二类居住用地,北京祥鼎置业有限公司,京房售证字( 2022 ) 35 号,20220402,北京祥鼎置业有限公司
瞰山佳苑,海淀北部中关村翠湖科技园B地块土地一级开发项目HD00-0305-0024地块二类城镇住宅用地,星旅(北京)房地产开发有限公司,京房售证字( 2025 ) 12 号,20250303,星旅(北京)房地产开发有限公司
,东升乡大钟寺,北京中坤长业房地产开发有限公司,京房售证字( 2006 ) 358 号,20060909,北京中坤长业房地产开发有限公司
,朝阳区来广营北苑集团东区,北京新华联恒业房地产开发有限公司,京房售证字(2004)100号,20040319,北京新华联恒业房地产开发有限公司
,丰台区草桥欣园居住小区,北京恒源伟业房地产开发有限公司,京房售证字(2004)252号,20040702,北京恒源伟业房地产开发有限公司
,朝阳区朝阳区姚家园青年路115号（国美家园）,北京鹏润房地产开发有限责任公司,京房售证字(2004)594号,20041215,北京鹏润房地产开发有限责任公司
,大兴区黄村卫星城兴业路西侧,北京市大兴城镇建设综合开发集团公司,京房售证字(2004)81号,20040601,北京市大兴城镇建设综合开发集团公司
,北沙滩7号院,中天房地产公司,京房售证字( 2005 ) 508 号,20050930,中天房地产公司
,四季青乡西冉村兴业新村西区,北京创辉房地产开发有限公司,京房售证字( 2005 ) 468 号,20050911,北京创辉房地产开发有限公司
玉和雅苑,西北旺镇HD00-0403街区永丰产业基地（新）F2地块HD00-0403-0019地块,北京壹品海开房地产开发有限公司,京房售证字( 2023 ) 129 号,20231118,北京壹品海开房地产开发有限公司
嘉州水郡,长阳镇哑叭河村金果园住宅小区C地块,北京日兴房地产发展有限公司,京房售证字( 2009 ) 120 号,20090507,北京日兴房地产发展有限公司
,青年路甘露园一号（珠江愉景家园一期南部）,北京合生愉景房地产开发有限公司,京房售证字( 2005 ) 188 号,20050521,北京合生愉景房地产开发有限公司
,工体西路,北京世纪中基房地产开发有限公司,京房售证字( 2005 ) 501 号,20050924,北京世纪中基房地产开发有限公司
,回龙观镇回龙观村,北京新龙房地产开发有限公司,京房售证字( 2005 ) 598 号,20051110,北京新龙房地产开发有限公司
韦伯国际发展中心,朝阳区朝阳门外小庄6号,北京鑫丰物业发展有限公司,京房售证字( 2005 ) 71 号,20050309,北京鑫丰物业发展有限公司
巨燕嘉苑,阎村镇FS07-0104-0077地块R2二类居住用地,北京巨燕置业有限公司,京房售证字( 2024 ) 42 号,20240516,北京巨燕置业有限公司
,昌平区北七家镇,北京枫树置业有限公司,京房售证字(2004)132号,20040409,北京枫树置业有限公司
,朝阳区东郊农场,北京金来欣房地产开发有限公司,京房售证字(2003)375号,20031203,北京金来欣房地产开发有限公司
,车公庄西路20号水科院北院西区改造住宅小区,中国水电建设集团中环房地产有限公司,京房售证字( 2005 ) 368 号,20050801,中国水电建设集团中环房地产有限公司
,胜古庄（朝阳区胜古庄危改小区二期）,北方房地产开发有限责任公司,京房售证字( 2005 ) 212 号,20050530,北方房地产开发有限责任公司
,常营乡,北京中弘投资有限公司,京房售证字( 2005 ) 478 号,20050916,北京中弘投资有限公司
,宣武区南线里,北京市宣武区城市建设综合开发总公司,京房售证字()1216号,20051114,北京市宣武区城市建设综合开发总公司
,通州区潞苑南大街,北京珠江中天和置业有限公司,京房售证字(2004)153号,20040419,北京珠江中天和置业有限公司
,丰台区丰台区花乡,北京银地房地产开发有限责任公司,京房售证字(2004)183号,20040521,北京银地房地产开发有限责任公司
,马坡镇,北京金宝房地产开发有限公司,京房售证字( 2005 ) 352 号,20050729,北京金宝房地产开发有限公司
,朝阳区将台乡西十里居,北京永同昌京都房地产开发有限公司,京房售证字(2004)137号,20040413,北京永同昌京都房地产开发有限公司
,崇文区崇外2号地,北京兴隆置业有限公司,京房售证字(2003)269号,20030903,北京兴隆置业有限公司
,华城住宅小区,神华房地产有限责任公司,京房售证字( 2005 ) 268 号,20050624,神华房地产有限责任公司
和华嘉园,顺义新城第13街区SY00-0013-6050、6053地块二类居住用地,北京金兴保筑置业有限公司,京房售证字( 2022 ) 85 号,20220627,北京金兴保筑置业有限公司
兴盛家园,大兴区黄村镇兴盛路西侧（兴盛家园住宅小区）,北京德鸿基房地产开发有限公司,京房售证字(2004)97号,20040616,北京德鸿基房地产开发有限公司
滟澜小区,沙河镇C-X06，C-X07，C-X10地块二类居住、公建混合住宅、托幼用地项目（配建“人才公共租赁住房”）,北京锦昊万华置业有限公司,京房售证字( 2017 ) 69 号,20170621,北京锦昊万华置业有限公司
,昌平区东小口镇马连店村,北京新龙房地产开发有限公司,京房售证字(2004)116号,20040401,北京新龙房地产开发有限公司
,丰台区石榴庄西街232、234号,北京东和嘉业房地产开发有限公司,京房售证字(2003)148号,20031128,北京东和嘉业房地产开发有限公司
,白家庄路一号,富力（北京）地产开发有限公司,京房售证字( 2005 ) 279 号,20050629,富力（北京）地产开发有限公司
逸贤华庭,北七家镇,北京兴诚未来房地产开发有限公司,京房售证字( 2025 ) 107 号,20250925,北京兴诚未来房地产开发有限公司
雍景天成(南区),田村路西黄村八大处旧村改造一期工程（2）,北京八大处房地产开发有限公司,京房售证字( 2008 ) 220 号,20080615,北京八大处房地产开发有限公司
,昌平区昌平区介山村,北京世涛基业房地产开发有限公司,京房售证字(2004)466号,20041015,北京世涛基业房地产开发有限公司
,丰台区马家堡西居住区,北京市宣武区城市建设综合开发总公司,京房售证字(2004)54号,20040223,北京市宣武区城市建设综合开发总公司
,朝阳区广渠路31号,北京浩隆房地产开发有限责任公司,京房售证字(2004)115号,20040604,北京浩隆房地产开发有限责任公司
,昌平区东小口镇马连店村西南静雅轩住宅小区四期,北京新龙房地产开发有限公司,京房售证字(2004)275号,20040712,北京新龙房地产开发有限公司
泛海国际居住区,东风乡绿隔地区第三宗地J-6地块,北京泛海信华置业有限公司,京房售证字( 2008 ) 221 号,20080615,北京泛海信华置业有限公司
,东城区东单路口东南角,泛海建设控股有限公司,京房售证字()361号,20040528,泛海建设控股有限公司
,广渠门外大街31号,北京合生绿洲房地产开发有限公司,京房售证字( 2006 ) 158 号,20060502,北京合生绿洲房地产开发有限公司
逸贤华庭,北七家镇,北京兴诚未来房地产开发有限公司,京房售证字( 2025 ) 108 号,20250925,北京兴诚未来房地产开发有限公司
,五棵松路47号,德润房地产开发集团有限公司,京房售证字(2005)94号,20050331,德润房地产开发集团有限公司
,丰台区左安门外成寿寺村,北京世纪景房地产开发有限公司,京房售证字(2004)36号,20040210,北京世纪景房地产开发有限公司
,梨园地区半壁店大街以东,北京市京工房地产开发有限公司,京房售证字( 2005 ) 186 号,20050521,北京市京工房地产开发有限公司
,马坡镇,北京精达房地产开发有限公司,京房售证字(外)362号,20020906,北京精达房地产开发有限公司
观承顺园,高丽营镇于庄村西,北京万科东方置业有限公司,京房售证字( 2017 ) 113 号,20170908,北京万科东方置业有限公司
汇融大厦,北蜂窝桥西南西客站综合楼,北京日月房地产开发有限公司,京房售证字( 2007 ) 334 号,20070921,北京日月房地产开发有限公司
圣华里,田村畅茜园小区四期圣华园北地块,北京市龙鼎华源房地产开发有限责任公司,京房售证字( 2007 ) 442 号,20071125,北京市龙鼎华源房地产开发有限责任公司
阅园,卢沟桥乡居住项目（配建公共租赁房）,北京嘉源京大房地产开发有限公司,京房售证字( 2018 ) 104 号,20180901,北京嘉源京大房地产开发有限公司
保利茉莉雅苑,新城北区2号地,北京保利兴房地产开发有限公司,京房售证字( 2010 ) 225 号,20100923,北京保利兴房地产开发有限公司
龙山商业中心,龙山路东侧（多功能项目用地F1地块）,北京安宝房地产开发有限公司,京房售证字( 2022 ) 29 号,20220323,北京安宝房地产开发有限公司
嘉铭园D组团1#-3#楼,北苑路86号,北京嘉铭房地产开发有限责任公司,京房售证字( 2005 ) 87 号,20050325,北京嘉铭房地产开发有限责任公司
住星嘉园,采育镇DX10-0001-6004地块R2二类居住用地,北京住兴房地产开发有限公司,京房售证字( 2020 ) 139 号,20201110,北京住兴房地产开发有限公司
龙山商业中心,龙山路东侧（多功能项目用地F1地块）,北京安宝房地产开发有限公司,京房售证字( 2022 ) 30 号,20220323,北京安宝房地产开发有限公司
璟宸嘉园,拱辰街道FS00-LX004-0093地块R2二类居住用地,北京鑫汇房地产开发有限公司,京房售证字( 2021 ) 100 号,20210818,北京鑫汇房地产开发有限公司
金港家园,金盏乡小店村3005-12地块R2二类居住用地,北京中开盈泰房地产开发有限公司,京房售证字( 2020 ) 161 号,20201204,北京中开盈泰房地产开发有限公司
西城晶华苑,丰盛胡同丰盛危改小区B区工程,北京江盛房地产开发有限公司,京房售证字( 2007 ) 2 号,20070107,北京江盛房地产开发有限公司
林秀嘉园,宋庄镇双埠头村、大庞村、大兴庄村土地一级开发项目TZ03-0403-6007、6024地块,北京金地通达房地产开发有限公司,京房售证字( 2022 ) 168 号,20221022,北京金地通达房地产开发有限公司
丰管家园,管头小区79＃80＃81＃82＃住宅楼,北京恒联房地产开发有限公司,京房售证字( 2005 ) 691 号,20051230,北京恒联房地产开发有限公司
丽景水乡家园,北七家镇（丽景水乡住宅项目三期用地）,北京原创住业房地产开发有限公司,京房售证字( 2021 ) 8 号,20210108,北京原创住业房地产开发有限公司
鹏创久久大厦,东升乡小营住宅小区二期C23区配套,北京鹏创置业有限责任公司,京房售证字( 2011 ) 227 号,20111026,北京鹏创置业有限责任公司
靠山居-艺墅,房山区长阳镇高佃二、三村,北京靠山居房地产开发有限公司,京房售证字(2004)376号,20040820,北京靠山居房地产开发有限公司
燕西华府家园,王佐镇（怪村村北C-1地块）,北京西海龙湖置业有限公司,京房售证字( 2011 ) 230 号,20111029,北京西海龙湖置业有限公司
阅园,岳各庄居住区东区1号地1#、2#、8#办公楼,北京京大昆仑房地产开发有限公司,京房售证字( 2010 ) 208 号,20100918,北京京大昆仑房地产开发有限公司
北京新景家园,崇外大街五号地危改区新景家园四区4#、5#、8#、9#、一区2#楼、独立车库,北京崇文.新世界房地产发展有限公司,京房售证字( 2012 ) 131 号,20120706,北京崇文.新世界房地产发展有限公司
阅园,卢沟桥乡居住项目（配建公共租赁住房）,北京嘉源京大房地产开发有限公司,京房售证字( 2016 ) 168 号,20160818,北京嘉源京大房地产开发有限公司
